,Topic,word,weight,weighted_numbers
0,0,mr,0.0286794975399971,0.22164245337839697
1,0,think,0.02289334312081337,0.1769255799636661
2,0,vietnam,0.014794713817536831,0.11433731232484012
3,0,go,0.013468637131154537,0.10408905432353567
4,0,question,0.009425681084394455,0.07284406142032247
5,0,senat,0.008579962886869907,0.06630813602955583
6,0,want,0.008500857278704643,0.06569678776429118
7,0,say,0.008394520729780197,0.06487499186097953
8,0,south,0.007409385405480862,0.05726161544519977
9,0,believ,0.007248727139085531,0.05602000748921238
10,1,problem,0.009007612243294716,0.1312461648880966
11,1,busi,0.008596857078373432,0.12526122252514943
12,1,public,0.0072408332489430904,0.1055031643069922
13,1,system,0.006843137554824352,0.09970850605175383
14,1,employ,0.006418103352189064,0.09351550977977537
15,1,bank,0.00630518002435565,0.09187015102051378
16,1,today,0.006228642072528601,0.09075494841472136
17,1,court,0.006122560705989599,0.08920928102271117
18,1,opportun,0.005998051725327969,0.08739511254336418
19,1,progress,0.005870454013347626,0.08553593944692209
20,2,upon,0.014276791363954544,0.16345171619824825
21,2,constitut,0.013547990471124649,0.15510784160744764
22,2,shall,0.013432108797132969,0.15378113884861294
23,2,union,0.008736950345337391,0.1000273445117231
24,2,public,0.007586488500237465,0.08685597020159944
25,2,law,0.007338458672165871,0.08401633347699096
26,2,duti,0.006434648297727108,0.0736688153930062
27,2,principl,0.006072928197681904,0.06952756476962986
28,2,free,0.005056802649050951,0.057894175966600445
29,2,citizen,0.004862451925873756,0.05566909902614119
30,3,law,0.018444649875164032,0.19805913311782147
31,3,busi,0.010908679105341434,0.11713768174985227
32,3,upon,0.010845834389328957,0.11646285354445342
33,3,congress,0.009418971836566925,0.10114116610711915
34,3,labor,0.0077078863978385925,0.08276748588121316
35,3,public,0.0075070736929774284,0.08061115380047242
36,3,condit,0.0074172536842525005,0.07964666419589345
37,3,legisl,0.007213204633444548,0.07745558014767007
38,3,court,0.006933513563126326,0.07445225011414021
39,3,men,0.006729917600750923,0.07226603134136439
40,4,soviet,0.012447267770767212,0.17757683309423733
41,4,nuclear,0.007157061714679003,0.1021050062518558
42,4,union,0.006633778568357229,0.09463967605677143
43,4,effort,0.006411324720829725,0.09146607599601467
44,4,free,0.006402693688869476,0.09134294284341747
45,4,freedom,0.0063867112621665,0.09111493226540607
46,4,militari,0.006343264598399401,0.0904951078105654
47,4,arm,0.006263608578592539,0.08935870872325609
48,4,intern,0.006047599948942661,0.08627705826946441
49,4,defens,0.006001799833029509,0.08562365868901133
50,5,congress,0.00875198282301426,0.13499679458084987
51,5,upon,0.007802122738212347,0.12034547849149888
52,5,interest,0.006742909550666809,0.10400742253457858
53,5,treati,0.006624962203204632,0.10218811893690266
54,5,citizen,0.006234428845345974,0.0961642552532149
55,5,public,0.006130645051598549,0.09456342036029207
56,5,present,0.0060228221118450165,0.09290028281268
57,5,subject,0.005853169597685337,0.09028344202730798
58,5,act,0.005434565246105194,0.08382659141371734
59,5,import,0.005233433563262224,0.08072419358895772
60,6,tax,0.01797512173652649,0.1678095801068809
61,6,increas,0.014722163788974285,0.13744107883688272
62,6,congress,0.011877807788550854,0.1108871454003363
63,6,program,0.011271056719124317,0.10522272522659323
64,6,price,0.00974148977547884,0.09094321211281375
65,6,billion,0.009367121383547783,0.0874482370257978
66,6,feder,0.009057749062776566,0.08456004299817052
67,6,product,0.008444449864327908,0.0788344917345915
68,6,econom,0.007621784694492817,0.07115437146936655
69,6,energi,0.007037438452243805,0.0656991150885667
70,7,men,0.013709692284464836,0.17231161589223484
71,7,enemi,0.01082184724509716,0.13601545148133223
72,7,fight,0.010146175511181355,0.12752320483800902
73,7,attack,0.008948614820837975,0.11247154551550781
74,7,armi,0.006516174413263798,0.08189917901056303
75,7,militari,0.006414998788386583,0.08062754321817879
76,7,know,0.006316179409623146,0.07938552213682384
77,7,ship,0.005951364524662495,0.07480031037387701
78,7,america,0.005559813231229782,0.06987905943139322
79,7,use,0.00517850648611784,0.0650865681020802
80,8,america,0.011448932811617851,0.14580699324527038
81,8,know,0.009766258299350739,0.12437742288434087
82,8,freedom,0.009004506282508373,0.11467618932817933
83,8,let,0.007716859690845013,0.09827746632209818
84,8,today,0.007437653839588165,0.09472166192197659
85,8,come,0.007015107665210962,0.08934035798675631
86,8,man,0.006848045624792576,0.0872127523662476
87,8,men,0.006576284300535917,0.08375175716065018
88,8,go,0.006384895648807287,0.08131434187409176
89,8,say,0.00632260600104928,0.08052105691038879
90,9,america,0.01399591751396656,0.1569875476706106
91,9,job,0.010140877217054367,0.11374684395971034
92,9,help,0.00974949635565281,0.10935685512365664
93,9,child,0.009571278467774391,0.10735784440205519
94,9,congress,0.009080637246370316,0.10185448515051088
95,9,need,0.007449630182236433,0.08356002185603163
96,9,tonight,0.007378401234745979,0.08276107046334684
97,9,health,0.007320977281779051,0.08211696509870499
98,9,tax,0.007285416591912508,0.08171809267822575
99,9,care,0.0071804104372859,0.08054027359714713
